                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.0726,                0.86899,                 1.2082,                 0.8766,                0.86417,                0.90506,                0.65362,                 1.0155,                0.57239,                 1.1248,               0.007261,               0.007261,               0.007261
                     85,                 1.0677,                0.87193,                 1.2083,                0.87709,                0.86417,                0.90519,                0.65369,                 1.0154,                0.57207,                 1.1247,               0.007228,               0.007228,               0.007228
                     86,                 1.0713,                0.87411,                 1.2105,                0.87786,                0.86359,                0.90519,                0.65384,                 1.0152,                0.57177,                 1.1246,               0.007195,               0.007195,               0.007195
                     87,                 1.0669,                0.86747,                 1.2065,                0.87908,                0.86321,                0.90532,                0.65419,                  1.015,                0.57109,                 1.1244,               0.007162,               0.007162,               0.007162
                     88,                 1.0685,                0.86732,                 1.2097,                0.87959,                0.86297,                0.90523,                0.65406,                 1.0147,                0.57071,                 1.1241,               0.007129,               0.007129,               0.007129
                     89,                 1.0668,                0.86493,                 1.2065,                0.87913,                0.86363,                 0.9054,                 0.6543,                 1.0144,                0.57031,                 1.1238,               0.007096,               0.007096,               0.007096
                     90,                  1.063,                0.86104,                 1.2032,                0.87904,                0.86428,                0.90563,                0.65445,                 1.0143,                0.56986,                 1.1237,               0.007063,               0.007063,               0.007063
                     91,                 1.0698,                0.86536,                 1.2063,                0.87875,                 0.8654,                0.90573,                0.65468,                  1.014,                0.56936,                 1.1233,                0.00703,                0.00703,                0.00703
                     92,                 1.0683,                0.86305,                 1.2064,                0.88045,                0.86393,                0.90588,                0.65476,                 1.0139,                0.56896,                  1.123,               0.006997,               0.006997,               0.006997
                     93,                 1.0639,                 0.8625,                 1.2035,                0.88037,                0.86439,                0.90586,                0.65509,                 1.0137,                0.56817,                 1.1227,               0.006964,               0.006964,               0.006964
                     94,                 1.0655,                0.85853,                 1.2046,                0.88029,                0.86479,                0.90588,                0.65535,                 1.0133,                0.56783,                 1.1223,               0.006931,               0.006931,               0.006931
                     95,                 1.0657,                0.86303,                  1.207,                0.87945,                0.86546,                0.90607,                0.65542,                 1.0129,                0.56743,                 1.1219,               0.006898,               0.006898,               0.006898
                     96,                 1.0641,                0.86008,                 1.2061,                 0.8788,                0.86636,                0.90612,                0.65563,                 1.0127,                0.56675,                 1.1217,               0.006865,               0.006865,               0.006865
                     97,                 1.0652,                0.85908,                  1.205,                0.87877,                0.86542,                0.90588,                0.65555,                 1.0125,                0.56641,                 1.1215,               0.006832,               0.006832,               0.006832
                     98,                 1.0646,                0.85816,                 1.2024,                0.87894,                0.86619,                 0.9061,                0.65579,                 1.0124,                0.56554,                 1.1211,               0.006799,               0.006799,               0.006799
                     99,                 1.0635,                0.85762,                 1.2046,                0.87783,                0.86765,                0.90611,                0.65601,                 1.0121,                0.56515,                 1.1207,               0.006766,               0.006766,               0.006766
                    100,                 1.0673,                0.85857,                 1.2083,                0.87745,                0.86751,                0.90615,                0.65606,                  1.012,                0.56483,                 1.1207,               0.006733,               0.006733,               0.006733
                    101,                 1.0618,                0.85675,                  1.201,                0.87797,                0.86683,                0.90613,                0.65632,                 1.0116,                0.56452,                 1.1205,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0611,                0.85594,                 1.2024,                0.87724,                0.86605,                0.90607,                0.65637,                 1.0113,                 0.5643,                 1.1202,               0.006667,               0.006667,               0.006667
                    103,                 1.0618,                0.85447,                 1.2047,                 0.8771,                0.86677,                0.90627,                0.65631,                 1.0114,                0.56409,                 1.1202,               0.006634,               0.006634,               0.006634
                    104,                  1.063,                0.85282,                 1.2051,                 0.8774,                0.86679,                0.90641,                0.65646,                  1.011,                0.56358,                   1.12,               0.006601,               0.006601,               0.006601
                    105,                  1.056,                 0.8501,                 1.2013,                0.87916,                0.86617,                0.90659,                0.65657,                 1.0107,                  0.563,                 1.1198,               0.006568,               0.006568,               0.006568
                    106,                  1.057,                0.84914,                 1.2005,                0.87879,                0.86628,                0.90654,                0.65675,                 1.0104,                0.56231,                 1.1195,               0.006535,               0.006535,               0.006535
                    107,                 1.0621,                0.85372,                 1.2034,                0.88004,                0.86571,                0.90677,                0.65675,                   1.01,                0.56196,                 1.1193,               0.006502,               0.006502,               0.006502
                    108,                 1.0584,                0.84925,                  1.204,                0.88062,                0.86484,                0.90642,                0.65674,                 1.0099,                0.56157,                 1.1194,               0.006469,               0.006469,               0.006469
                    109,                 1.0583,                0.84845,                 1.2003,                0.87963,                 0.8657,                0.90656,                0.65667,                 1.0098,                0.56139,                 1.1194,               0.006436,               0.006436,               0.006436
                    110,                 1.0557,                0.84488,                 1.2016,                0.88019,                0.86569,                0.90646,                0.65682,                 1.0098,                0.56102,                 1.1193,               0.006403,               0.006403,               0.006403
                    111,                 1.0595,                0.84572,                 1.1997,                0.88004,                0.86566,                0.90669,                  0.657,                 1.0097,                0.56077,                 1.1189,                0.00637,                0.00637,                0.00637
                    112,                 1.0575,                0.84521,                 1.2017,                0.88083,                0.86566,                0.90695,                0.65727,                 1.0096,                0.56024,                 1.1189,               0.006337,               0.006337,               0.006337
